"fid";"name";"härad";"kommun";"län";"alternative_names";"comments";"type_swedish";"border_changes";"floraprovins";"type_english";"origin";"VUnique";"North";"NorthWGS84";"north_maxWGS84";"north_minWGS84";"east_minWGS84";"east_maxWGS84";"East";"eastWGS84";"eastRT90";"northRT90";"east_minCircle";"north_minCircle";"distCentroid";"distMinCircle";"EastMiniCircle";"NorthMinCircle"
"1477";"Järpås";"Kålland";"Lidköping";"Västra Götalands län";"Hjerpås, Hjärpås, Höra, Vedum";"

";"socken";"1803 - Höra socken införlivades i Järpås (Wikipedia)
1889 - Höra och Vedum uteslöts ur jordeboken och hemmanen m.m. införlivades med Järpås genom kungligt brev 12/4 1889 (Lagerstedt, 1973)
1884 - Lägenheten Källeråsen n:r 1 och Toketorp n:r 1 och 2 flyttades från Uberud genom kungligt brev 3/10 1884 (Lagerstedt, 1973)
1969 - uppgick i Lidköpings stad (Wikipedia)";"Västergötland";"parish";"medeltida";"Järpås--Västergötland";"6474091";"58.3918143564922";"58.4260109130198";"58.3481753434406";"12.9190920920705";"13.0640412717729";"382416";"12.988536371209";"1335296";"6477743";"382283";"6473808";"4924";"4622";"12.9915264491816";"58.3884672017796"
"1478";"Jäla";"Vilske";"Falköping";"Västra Götalands län";"";"Fram 1896 hörde del av Grolanda socken till Jäla jordebokssocken. Området kallades för Rya rote och bestod av 6½ mantal och hemmanen Smörkullen, Höfveröd, Olofstorp, Flatöna, Hagöna. Kålöna, Torpåsen, Johannelund, Hemmingsholmen, Rya, Grönehögen samt Erikstorp. I samband med överföringen bytte Erikstorp namn till Erikstorp nr 2. Rya rote hörde inte till Jäla kyrkosocken.";"socken";"1952 -  Jäla landskommun uppgick i Vilske landskommun (Wikipedia)";"Västergötland";"parish";"medeltida";"Jäla--Västergötland";"6433534";"58.0328557497033";"58.0590962711399";"58.0027374728162";"13.3091036129624";"13.4296116241268";"403580";"13.3671888736902";"1355984";"6436913";"403756";"6433481";"4073";"3935";"13.3693576185446";"58.0430767196969"
"1479";"Källeryd";"Mo";"Gnosjö";"Jönköpings län";"Kjellerö";"";"socken";"1952 - Källeryds landskommun uppgick i Gnosjö landskommun (Wikipedia)";"Småland";"parish";"medeltida";"Källeryd--Småland";"6362245";"57.3958088919344";"57.4786606482563";"57.3416281549502";"13.568044446976";"13.7160379973194";"419075";"13.6535112899599";"1370638";"6365406";"417552";"6363910";"9339";"8162";"13.6374993708553";"57.4013933635296"
"1480";"Jung";"Skåning";"Vara";"Västra Götalands län";"";"";"socken";"1952 - Jungs landskommun uppgick i Kvänums landskommun (Wikipedia)";"Västergötland";"parish";"medeltida";"Jung--Västergötland";"6465845";"58.3195324915754";"58.3443989815112";"58.2956335571005";"13.0462511717704";"13.1675927995999";"389094";"13.1066582544624";"1341877";"6469413";"389145";"6465990";"3730";"3644";"13.1069219856851";"58.3222240654909"
"1481";"Istrum";"Valle";"Skara";"Västra Götalands län";"";"";"socken";"1885 - Närsäter 1/2 flyttades i alla avseenden från Eggby till Istrum genom kungligt brev 27/2 1885 där den låg som en enklav (Lagerstedt, 1973)
1952 - Istrums landskommun uppgick i Valle landskommun (Wikipedia)";"Västergötland";"parish";"medeltida
1452 införlivades Ölanda socken (Wikipedia)";"Istrum--Västergötland";"6480249";"58.4553776144985";"58.4831589779434";"58.4321666746125";"13.5398424818074";"13.6782964291949";"418915";"13.6104688547572";"1371885";"6483466";"418850";"6480184";"4122";"4059";"13.6090694555012";"58.45756611427"
"1482";"Hömb";"Vartofta";"Tidaholm";"Västra Götalands län";"";"";"socken";"1887 - Öråsen 1/8 som enligt jordeboken låg i Ljunghems socken flyttades i alla avseenden till Hömbs socken genom kungligt brev 11/11 1887 (Lagerstedt, 1973)
1952 - Hömbs landskommun uppgick i Dimbo landskommun";"Västergötland";"parish";"medeltida";"Hömb--Västergötland";"6455569";"58.2365635235359";"58.2634477271217";"58.2171444548646";"13.8553148730613";"13.9759098040224";"435829";"13.907119057646";"1388511";"6458572";"436182";"6455212";"4260";"3801";"13.9154039270607";"58.2282090629577"
"1483";"Högstena";"Gudhem";"Falköping";"Västra Götalands län";"";"";"socken";"1952 - Högstena landskommun uppgick i Stenstorps landskommun (Wikipedia)";"Västergötland";"parish";"medeltida";"Högstena--Västergötland";"6454626";"58.2264115294652";"58.2433778165486";"58.2023000885073";"13.6729535491023";"13.7627553623546";"425129";"13.7252448916187";"1377795";"6457757";"424701";"6454666";"3183";"2786";"13.7178568014833";"58.2265378457641"
"1484";"Härlunda";"Skåning";"Skara";"Västra Götalands län";"Herrlunda, Herlunda";"";"socken";"1807 - Laxdiket 1/4 flyttades från Marums socken till Härlunda vid 1807 års jordrannsakning (Lagerstedt, 1973)
1952 - Härlunda landskommun uppgick i Ardala landskommun (Wikipedia)";"Västergötland";"parish";"medeltida";"Härlunda--Västergötland";"6465552";"58.3210993873091";"58.3618864420355";"58.2760115086781";"13.3675700386619";"13.4840989036163";"407172";"13.4152561307133";"1359960";"6468903";"408414";"6465240";"5434";"5090";"13.4248405293627";"58.3169620745051"
"1485";"Härjevad";"Skåning";"Lidköping";"Västra Götalands län";"";"";"socken";"1889 - Härjevad blev jordebokssocken genom kungligt brev 12/4 1889 (Lagerstedt, 1973)
1952 - Härjevads landskommun uppgick i Saleby landskommun (Wikipedia)
1969 - Saleby landskommun uppgick i Lidköpings stad (Wikipedia)";"Västergötland";"parish";"medeltida";"Härjevad--Västergötland";"6470511";"58.3607187175699";"58.3813330015693";"58.3384536494066";"13.0322919249936";"13.0844220294143";"386353";"13.0576043986417";"1339191";"6474114";"386339";"6470420";"2479";"2388";"13.058494806732";"58.3626653252982"
"1486";"Härja";"Vartofta";"Tidaholm";"Västra Götalands län";"";"";"socken";"1952 - Härja landskommun uppgick i Hökensås landskommun (Wikipedia)";"Västergötland";"parish";"medeltida";"Härja--Västergötland";"6434664";"58.0493092131979";"58.086562121726";"58.0078790010533";"13.8679823796429";"14.0695931184919";"439141";"13.9689316111701";"1391575";"6437619";"439126";"6434079";"6523";"6311";"13.9687998629963";"58.0440083092176"
"1487";"Händene";"Skåning";"Skara";"Västra Götalands län";"Hende, Hände";"";"socken";"1859 - Karstorp 1, som i kyrklig mening hörde till Hänene i Skåning, flyttades i jordeboken från Skara socken till Hänende genom kungligt brev 22/6 1859 (Lagerstedt, 1972)
1952 - Händene landskommun uppgick i Ardala landskommun (Wikipedia)";"Västergötland";"parish";"medeltida";"Händene--Västergötland";"6475675";"58.4114956711212";"58.4483620902588";"58.3802630807733";"13.3178053725706";"13.4158746616337";"404903";"13.3723525990448";"1357812";"6479058";"404451";"6476376";"5126";"4293";"13.3638758478009";"58.4173676209592"
"1488";"Kållerstad";"Västbo";"Gislaved";"Jönköpings län";"";"";"socken";"1952 - Kållerstads landskommun uppgick i Reftele landskommun (Wikipedia)";"Småland";"parish";"medeltida";"Kållerstad--Småland";"6328823";"57.094595459704";"57.1260747815208";"57.0596670540679";"13.4896782573481";"13.6363892402079";"413401";"13.5707539040021";"1364565";"6332036";"413062";"6329032";"5017";"4730";"13.5628989774512";"57.0997774446572"
"1489";"Kulltorp";"Västbo";"Gnosjö";"Jönköpings län";"";"";"socken";"1951 - Genom kungligt brev 30/3 1951 flyttades Lanna skifteslag om 16,38 km^2 i kommunalt avseende och med avseende på fastighetsredovisningen från Kulltorp till Bredaryd (Lagerstedt, 1973)
1952 - Kulltorps landskommun delades 1952 och delarna överfördes till Gnosjö landskommun och Bredaryds landskommun (Wikipedia)";"Småland";"parish";"medeltida";"Kulltorp--Småland";"6347886";"57.2682467404299";"57.3332997250467";"57.1903030219104";"13.7067107966942";"13.8987887811699";"427377";"13.7958182421031";"1378773";"6350942";"427985";"6347222";"8683";"8025";"13.8033767729348";"57.2715154468676"
"1490";"Kråkshult";"Östra";"Eksjö";"Jönköpings län";"Kråxhult, Krockshult";"";"socken";"1885 - 1/4 mantal Vada och från Kråkshult till Hässleby 1/4 mantal Lilla Funghult nr 1 jämte utjord överfördes från Hässleby socken till Kråkshult (Wikipedia).
1952 - Kråkshults landskommun uppgick i Mariannelunds köping (Wikipedia)";"Småland";"parish";"medeltida";"Kråkshult--Småland";"6378090";"57.5446189743993";"57.5995339972066";"57.493130936747";"15.3100181116825";"15.5118155163961";"525100";"15.419358168491";"1476893";"6379998";"524101";"6378870";"7330";"6892";"15.4101231203831";"57.5333336660161"
"1491";"Korsberga";"Östra";"Vetlanda";"Jönköpings län";"";"";"socken";"";"Småland";"parish";"medeltida";"Korsberga--Småland";"6349137";"57.285175599573";"57.3511572210481";"57.2075900516545";"15.0184189210792";"15.2345827631299";"508194";"15.135900392856";"1459638";"6351237";"507981";"6348497";"9476";"8994";"15.1265509253528";"57.2642689016228"
"1492";"Karlstorp";"Östra";"Vetlanda";"Jönköpings län";"";"Hemmanet Lavekulla hörde till 1887 till Järeda socken (Wikipedia).";"socken";"1887 - tillhörde 20 3/4 mantal av socknen till Östra härad medan Karlstorps skate bestående av 17 3/4 mantal hörde till Aspelands härad i Kalmar län: Buskebo, Boanäs, Boaryd, Frukullen, Häggarp, Hässlehult, Harshult, Lixerum, Marholma, Nyebo, Sjöboda, Svenarp, Bjurvik, Bockstad, Flenshult, Fluxerum, Hälleryd, Bölö, Hörtingen, Lövåsen och Sjönäs. Även hemmanet Lavekulla hörde till 1887 till Järeda socken i Aspelands härad (Wikipedia).
1952 - Karlstorps landskommun uppgick i Alseda landskommun (Wikipedia)";"Småland";"parish";"medeltida";"Karlstorp--Småland";"6373362";"57.5017103223517";"57.5618896740515";"57.4349182409625";"15.3653201908548";"15.654814074397";"532022";"15.5343445724396";"1483761";"6375187";"530586";"6372572";"10176";"8691";"15.5100671326259";"57.4971271246432"
"1493";"Jönköping";"";"Jönköping";"Jönköpings län";"Junecopiam, Ljungarum";"Här räknas Ljungarum socken som en del av Jönköpings stad.";"stad";"1910 - Ljungarums socken uppgick i Jönköpings stad (Wikipedia). 
1951 - Enligt beslut den 31 mars 1950 inkorporerades större delen av Järstorps landskommun med en omfattning av 34,90 km², varav 34,50 km² land. Till Bankeryds landskommun överfördes från Järstorps upplösta kommun fastigheterna Tunabo 1:2 och Tunabo 1:3, omfattande en areal av 1,50 km², varav 1,30 km² land. Enligt samma beslut inkorporerades Järstorps socken i fastighetshänseende i Jönköpings stad (Wikipedia).
1954 - överfördes från Norrahammars köping och församling till Jönköpings stad och Jönköpings Sofia församling ett område omfattande en areal av 11,20 kvadratkilometer, varav 10,85 kvadratkilometer land (Wikipedia).
1957 - överfördes från Jönköpings stad två områden till Huskvarna stad. Ett område omfattande en areal av 0,76 km², varav 0,73 km² land överfördes från Ljungarums församling. Det andra ett område omfattande en areal av 0,87 km², varav allt land överfördes från Jönköpings Kristina församling (Wikipedia).
1960 - överfördes till Jönköpings stad och Ljungarums församling från Huskvarna stad ett områdeomfattande en areal av 0,03 km² land. Samtidigt överflyttades i motsatt riktning ett obebott område omfattande en areal av 0,001 km² land. Dessutom överfördes från Huskvarna stad till Jönköpings stad och Kristina församling ett område omfattande 0,07 km² land (Wikipedia).";"Småland";"town/borough";"medeltida";"Jönköping--Småland";"6404231";"57.777487176608";"57.8268856101256";"57.7304294408909";"14.0976367876988";"14.2678216472604";"451302";"14.1811899874676";"1403377";"6407028";"450558";"6404296";"6579";"6039";"14.1813677009259";"57.7893122296291"
"1494";"Järstorp";"Tveta";"Jönköping";"Jönköpings län";"Jerdstorp, Jerstorp";"";"socken";"1883 - Kortebo 1 och Måleskog 1/2 hörde enligt jordeboken till Bankeryds socken. De flyttades helt till järstorps socken genom kungligt brev 16/11 1883 (Lagerstedt, 1973)
1950 - Järstorps socken införlivades i Jönköpings stad i alla avseenden utom kyrkligt genom kunglgigt brev 31/3 1950. En mindre del överfördes samtidigt i alla avseenden till Bankeryds socken (Lagerstedt, 1973)";"Småland";"parish";"medeltida";"Järstorp--Småland";"6406566";"57.7976491923432";"57.8322412274035";"57.7593319507892";"14.009408193567";"14.1567287819877";"444415";"14.0648803840833";"1396516";"6409445";"445450";"6406900";"6300";"5238";"14.0830684877773";"57.8123215581761"
"1495";"Järsnäs";"Tveta";"Jönköping";"Jönköpings län";"Jersnäs";"";"socken";"1952 - Järsnäs landskommun uppgick i Lekeryds landskommun (Wikipedia)";"Småland";"parish";"medeltida";"Järsnäs--Småland";"6406615";"57.8008270238953";"57.8734288480699";"57.7341203629784";"14.495432174395";"14.6535636877918";"474228";"14.566382267147";"1426342";"6409140";"474038";"6406967";"8197";"7821";"14.575068631399";"57.7977198549415"
"1496";"Hällum";"Barne";"Vara";"Västra Götalands län";"Hellum";"";"socken";"1892 - Större delen av Hällums kyrksocken tillhörde Barne, men en del hörde enligt jordeboken till Jungs socken. Sockendelen bestde enligt Skaraborgs jordebok 1874 av Halla 1, Hallagården 1/2, Berget 1/8, Göranstorp 1/8, Hagatorp 1/8, Halt Anderstorp 1/4, Sundstorp 1, Rördalen 1/8.  Sockendelen flyttades i jordeboken till Hällums socken genom kungligt brev 16/12 1892 (lagerstedt, 1973)
1952 - Hällums landskommun uppgick i Ryda landskommun (Wikipedia)
1967 - Ryda landskommun uppgick i Vara köping (Wikipedia)";"Västergötland";"parish";"medeltida";"Hällum--Västergötland";"6466724";"58.326381312476";"58.34944507168";"58.2053415963721";"12.8660131187693";"13.0983674825304";"385032";"13.0369506330693";"1337825";"6470341";"381728";"6460932";"16594";"10026";"12.9821323368568";"58.2735493126509"
"1497";"Jälluntofta";"Västbo";"Hylte";"Hallands län";"Jällundtofta";"";"socken";"1952 -  Jälluntofta landskommun uppgick i Unnaryds landskommun (Wikipedia)";"Småland";"parish";"medeltida";"Jälluntofta--Småland";"6323703";"57.0480388072133";"57.0873999750662";"57.0060584840922";"13.4397517228207";"13.6079382916117";"410356";"13.5223702640246";"1361458";"6326950";"410154";"6322366";"6690";"5742";"13.5228002303528";"57.0303581744874"
"1498";"Ingatorp";"Södra Vedbo";"Eksjö";"Jönköpings län";"";"";"socken";"";"Småland";"parish";"medeltida";"Ingatorp--Småland";"6391029";"57.661074175224";"57.7149638384302";"57.5879237843327";"15.1698552126915";"15.4968018707859";"520443";"15.3425782166662";"1472388";"6392997";"519819";"6392625";"10980";"9865";"15.3333285417387";"57.6793164189534"
"1499";"Hällestad";"Gäsene";"Falköping";"Västra Götalands län";"Hellestad";"1926 - Delar av kronoparken Edsmären flyttades från Bråttensby till Hällestad genom kungligt brev 12/3 1926 (Lagerstedt, 1973)";"socken";"1952 - Hällestads landskommun uppgick i Vilske landskommun (Wikipedia)";"Västergötland";"parish";"medeltida";"Hällestad--Västergötland";"6442088";"58.1081692181053";"58.1428287453913";"58.0742038698676";"13.1893899571072";"13.3225564062008";"396942";"13.251080574313";"1349445";"6445551";"397081";"6442021";"4792";"4641";"13.255973181654";"58.1091202167806"
"1500";"Häggum";"Valle";"Skövde";"Västra Götalands län";"Häggenäs";"";"socken";"1952 - Häggums landskommun uppgick i Skultorps landskommun (Wikipedia)
1971 - Skultorps landskommun uppgick i Skövde kommun (Wikipeida)";"Västergötland";"parish";"medeltida";"Häggum--Västergötland";"6465504";"58.3239454411825";"58.3518706959641";"58.2975709368736";"13.6563070049922";"13.7526547650919";"424269";"13.7070519801105";"1377065";"6468650";"423936";"6465613";"3508";"3290";"13.7044808850421";"58.3116924463406"
"1501";"Häggesled";"Kålland";"Lidköping";"Västra Götalands län";"";"";"socken";"1952 - Häggesleds landskommun uppgick i Järpås landskommun (Wikipedia)
1969 - Järpås landskommun uppgick i Lidköpings stad (Wikipedia)";"Västergötland";"parish";"medeltida";"Häggesled--Västergötland";"6475484";"58.4030383892583";"58.4289092895835";"58.3836369884656";"12.845240325847";"12.9448395800915";"377755";"12.908122988212";"1330649";"6479193";"376664";"6476003";"4069";"3405";"12.8950399529693";"58.4013300814311"
"1502";"Hångsdala";"Vartofta";"Tidaholm";"Västra Götalands län";"";"";"socken";"1952 - Hångsdala landskommun uppgick i Dimbo landskommun (Wikipedia)";"Västergötland";"parish";"medeltida";"Hångsdala--Västergötland";"6442392";"58.1170212251887";"58.1408030138018";"58.0974530348299";"13.7415945943351";"13.8044953260805";"427909";"13.7763447076623";"1380430";"6445484";"427865";"6442710";"2961";"2707";"13.7712871315748";"58.1222461265551"
"1503";"Håle";"Åse";"Grästorp";"Västra Götalands län";"";"";"socken";"1952 - Håle landskommun uppgick i Grästorps landskommun (Wikipedia)";"Västergötland";"parish";"medeltida";"Håle--Västergötland";"6472606";"58.3750385771406";"58.3970876623624";"58.3496748934335";"12.5040466040735";"12.8259229163507";"370221";"12.7809236736522";"1323076";"6476404";"363435";"6472703";"16241";"9469";"12.6649847602121";"58.3737463384674"
"1504";"Håkantorp";"Gudhem";"Falköping";"Västra Götalands län";"Håkanstorp";"";"socken";"1952 -  Håkantorps landskommun uppgick i Stenstorps landskommun (Wikipedia)";"Västergötland";"parish";"medeltida";"Håkantorp--Västergötland";"6458187";"58.2572338601782";"58.2775537544606";"58.2367508404014";"13.5896221680409";"13.6367323365587";"418616";"13.6131346569874";"1371322";"6461397";"418581";"6458168";"2426";"2396";"13.6157903567362";"58.2572879508509"
"1505";"Hyringa";"Viste";"Grästorp";"Västra Götalands län";"";"";"socken";"1951 - överfördes till Längnums socken fastigheterna Lekunga Skattegården 1:12-1:15, Hedåker 1:12 och Eneryd 1:4 med 3 invånare och omfattande en areal av 0,13 km² (Wikipedia).
1952 - Hyringa landskommun uppgick i Grästorps landskommun (Wikipedia)";"Västergötland";"parish";"medeltida";"Hyringa--Västergötland";"6463789";"58.2957143717911";"58.3196937887722";"58.2706565227506";"12.7048076840136";"12.8323221133466";"369570";"12.774777515534";"1322319";"6467590";"369203";"6464079";"4602";"4140";"12.7680334620886";"58.297827870006"
"1506";"Husaby";"Kinnefjärding";"Götene";"Västra Götalands län";"";"";"socken";"1889 - Göttorp 3 1/2 hörde enligt jordeboken till Skälvum, flyttades i jordeboken till Husaby genom kungligt brev 12/4 1889 (Lagerstedt, 1973)
1967 - Landskommunen uppgick i Götene köping (Wikipedia)";"Västergötland";"parish";"medeltida";"Husaby--Västergötland";"6488601";"58.5276767816749";"58.5533417998221";"58.489923975227";"13.2892005275481";"13.4525249535115";"405533";"13.3777755951838";"1358598";"6491983";"405277";"6488730";"5568";"5282";"13.3708627405298";"58.5253697694847"
"1507";"Hovby";"Kinnefjärding";"Lidköping";"Västra Götalands län";"";"";"socken";"1987 - Rotegårdstomt 1/4 som i kyrkligt avseende hörde till Härene i Kinne, fyttades dit från Hovby även i kommunlat och i jordeboken genom kungligt brev 27/6 1987 (Lagerstedt, 1973)
1952 - landskommunen uppgick i Vinninga landskommun (Wikipedia)
1969 - Vinninga landskommun upgick i Lidköpings stad (Wikipedia)";"Västergötland";"parish";"medeltida
Östby socken införlivades efter 1546 (Wikipedia)";"Hovby--Västergötland";"6481849";"58.4638120267086";"58.4876650288342";"58.4420522710511";"13.0967878945469";"13.1880039588019";"391572";"13.1414033585331";"1344549";"6485395";"391577";"6481808";"2719";"2713";"13.1423959266744";"58.4601595218294"
"1508";"Höreda";"Södra Vedbo";"Eksjö";"Jönköpings län";"";"";"socken";"";"Småland";"parish";"medeltida";"Höreda--Småland";"6385051";"57.6078387176463";"57.6834750049521";"57.5357167401705";"14.787998971326";"15.1010178110121";"498438";"14.9738699166981";"1450304";"6387279";"497346";"6386997";"11106";"10205";"14.9445083911691";"57.6385220475282"
"1509";"Hässleby";"Södra Vedbo";"Eksjö";"Jönköpings län";"Hesselby, Hässelby, Hessleby, Mariannelund";"Marielunds köping räknas här som en del av Hässleby socken.";"socken";"1883 - Lilla Funghult 1/4 flyttades i alla avseenden från Kråkshult socken till Hässelby socken genom kungligt brev 7/12 1883 (Lagerstedt, 1973)
1885 - överfördes från Hässleby socken till Kråkshults socken 1/4 mantal Vada och från Kråkshult till Hässleby 1/4 mantal Lilla Funghult nr 1 jämte utjord (Wikipedia).
1928 - Mariannelunds köping tillkom (Lagerstedt, 1973)
1941 - Mariannelunds köping skildes med avseende på fastighetsredovisningen från Hässelby socken genom kungligt brev 17/10 1941 (Lagerstedt, 1973)
1952 - Hässleby landskommun inkorporeras i Mariannelunds köping (Wikipedia)";"Småland";"parish";"medeltida";"Hässleby--Småland";"6384913";"57.6054775075371";"57.6664090646172";"57.5476429407398";"15.4054370613217";"15.6656458177215";"531885";"15.5335491454159";"1483761";"6386743";"531970";"6384222";"7923";"7814";"15.5355414395216";"57.5948431138891"
"1510";"Hånger";"Östbo";"Värnamo";"Jönköpings län";"";"";"socken";"1895 - Fröset 6 hörde enligt joredoken till Forsheda socken. Hemmanen flyttades i jordeboken till Hångers socken genom kungligt brev 29/12 1895 (Lagerstedt, 1973)
1952 - Hångers landskommun inkorporerades i Forsheda landskommun (Wikipedia)";"Småland";"parish";"medeltida";"Hånger--Småland";"6326523";"57.0777120419569";"57.1305882873791";"57.0293466175408";"13.8900935810313";"14.0243216104572";"436502";"13.9525100487009";"1387649";"6329461";"437043";"6326767";"6009";"5897";"13.9576605335549";"57.0737037953476"
"1511";"Hylletofta";"Västra";"Sävsjö";"Jönköpings län";"";"";"socken";"1830 - Björnaryd 1/4 hörde enligt jordeboken till Ljunga socken. Hemmanet flyttades i jordeboken från Ljunga till Hylletofta socken genom kungligt brev 27/3 1830 (Lagerstedt, 1973)
1952 - Hylletofta landskommun inkorporerades i Vrigstads landskommun (Wikipedia)";"Småland";"parish";"medeltida";"Hylletofta--Småland";"6366216";"57.4376435044891";"57.4907852213783";"57.3863320399506";"14.4246038676449";"14.5682695522784";"469476";"14.4915347101885";"1421107";"6368781";"469558";"6366280";"6232";"6205";"14.4964367099616";"57.4460309491996"
"1512";"Huskvarna";"";"Jönköping";"Jönköpings län";"Husqvarna, Husquarna";"";"stad";"1907 - Huskvarna köping bildas genom en utbrytning ur Hakarps landskommun (Wikipedia).
1911 - Huskvarna stad bildades genom en ombildning av Huskvarna köping (Wikipedia).
1809 - Tormenås nr 1 och  Ösnehaga nr 1 jämte därifrån avsöndrade lägenheer flyttades i kommunalt avseende från Rogberga socken till Huskvara köping genom kungligt brev 31/12 1809 och i kyrkligt avseende till Hakarp genom kungligt brev 15/12 1918. (Lagerstedt, 1973)
1967 - inkorporerades Hakarps landskommun i Huskvarna stad";"Småland";"town/borough";"Huskvarna köping bildas genom en utbrytning ur Hakarps landskommun 1907 (Wikipedia)";"Huskvarna--Småland";"6405374";"57.7883055792745";"57.8171181978809";"57.7626906598285";"14.2500007808828";"14.2977148945868";"456758";"14.2727199710608";"1408850";"6408106";"456683";"6405553";"3212";"3039";"14.2715981945751";"57.7885319788137"
"1513";"Hultsjö";"Västra";"Sävsjö";"Jönköpings län";"";"";"socken";"1952 - Hultsjö landskommun inkorporerades i Hjälmseryds landskommun (Wikipedia)";"Småland";"parish";"medeltida";"Hultsjö--Småland";"6347477";"57.2699740084905";"57.3397621807927";"57.2029847278767";"14.6067814410942";"14.790284603059";"481681";"14.6962493581469";"1433095";"6349889";"480623";"6347147";"9077";"8205";"14.6942484986131";"57.2520772041174"
"1514";"Hult";"Södra Vedbo";"Eksjö";"Jönköpings län";"";"";"socken";"1952 - Hults landskommun inkorporerades i Höreda landskommun (Wikipedia)";"Småland";"parish";"medeltida";"Hult--Småland";"6388524";"57.6389615044379";"57.7171146337294";"57.5628075305095";"15.0588705187372";"15.2675213093939";"509240";"15.1547609173111";"1461151";"6390625";"508613";"6388645";"8810";"8612";"15.1631959140656";"57.645884519677"
"1515";"Hova";"Vadsbo";"Gullspång";"Västra Götalands län";"Hofva, Fagerlid";"På 1790-talet införlivades Fagerlids socken, dess jordebokssocken överfördes dock först 1889 (Wikipedia).";"socken";"1889 - Fagerlids socken införlivades i Hova socken även i jordeboken (Wikipedia).";"Västergötland";"parish";"medeltida
1587 utbröts Tivedsbodarne socken som senare blev Finnerödja socken. På 1790 taled införlivades Fagerlids kyrksocken (Wikipedia)";"Hova--Västergötland";"6526433";"58.8755289725674";"58.9733952366209";"58.7868376999181";"14.1210478800077";"14.4214566995525";"456600";"14.2472970742428";"1410143";"6529216";"458305";"6525735";"13489";"11776";"14.2740404174884";"58.852567357632"
"1516";"Hjälmseryd";"Västra";"Sävsjö";"Jönköpings län";"Hjelmseryd";"Bo - Ljungsberg ligger i Växjö kommun, Kronobergs län.

";"socken";"1828 - Mindre regleringar av gränserna till Hjälmseryd socken har skett genom kungligt brev 20/1 1828 (Lagerstedt, 1973). 
1883 - Haneryd 1/4 och Hillevara 1 hörde enligt jordeboken till Stockaryd socken. Sockendelen flyttades i jordeboken till Hjälmseryd genom kungligt brev 9/11 1883 (Lagerstedt, 1973)
1924 - (gränserna till Aneboda och Slätthög), reglerades genom kungligt brev 4/2 1924 (Lagerstedt, 1973)
1924 - (gränsen till Stockaryd), reglerades genom kungligt brev  kungligt brev 8/8 1924 (Lagerstedt, 1973)
1946 -  (gränsen till Kronobergs län), reglerades genom kungligt brev 1/3 1946 (gränsen till Aneboda i kronobergs län Lamhults stationssamhälle och den del andra områdes om tillsammans 5,74 km ^2 (Lagerstedt, 1973)
1947 - överfördes ett område omfattande 5,74 km², bestående av hemmanen Ljungsåsa och Boo samt den del av Lammhult som låg i Jönköpings län från Hjälmseryds socken till Aneboda socken i Kronobergs län. 
1958 - överfördes Stockarydsdelen av Rörviks samhälle till Hjälmseryds socken (Wikipedia).";"Småland";"parish";"medeltida";"Hjälmseryd--Småland";"6343210";"57.2310546211349";"57.3353388412526";"57.1435279900412";"14.3896166882359";"14.6120370617722";"470088";"14.5045445926547";"1421446";"6345758";"468351";"6344163";"11697";"11123";"14.4964043770228";"57.2228272294575"
"1517";"Hornborga";"Gudhem";"Falköping";"Västra Götalands län";"";"";"socken";"";"Västergötland";"parish";"medeltida";"Hornborga--Västergötland";"6464356";"58.3126253276217";"58.4387926728114";"58.258907122015";"13.533746822004";"13.7892241750651";"418405";"13.6075337180477";"1371185";"6467571";"422712";"6468300";"16996";"11345";"13.6623483467879";"58.3567274374899"
"1518";"Haurida";"Norra Vedbo";"Aneby";"Jönköpings län";"";"";"socken";"";"Småland";"parish";"medeltida";"Haurida--Småland";"6416793";"57.8920906394897";"57.9390648494134";"57.8539990731571";"14.47707595818";"14.6159264900296";"472147";"14.5301988474033";"1424381";"6419346";"472302";"6417260";"5463";"5066";"14.5462855328339";"57.891593879403"
"1519";"Horn";"Vadsbo";"Skövde";"Västra Götalands län";"";"";"socken";"";"Västergötland";"parish";"medeltida";"Horn--Västergötland";"6486444";"58.5134977821981";"58.5504501548079";"58.4494529163638";"13.6707083248292";"13.9395001544736";"433772";"13.8631471129";"1386824";"6489485";"430532";"6484763";"11496";"9289";"13.8051042396514";"58.4935342196835"
"1520";"Holmestad";"Kinne";"Götene";"Västra Götalands län";"";"";"socken";"";"Västergötland";"parish";"medeltida";"Holmestad--Västergötland";"6490130";"58.544123999526";"58.5904441630475";"58.5020218319775";"13.5367192008465";"13.6763952491223";"418998";"13.6083872978875";"1372087";"6493351";"418020";"6490381";"5192";"4944";"13.6065572249844";"58.5410582945995"
"1521";"Hjälstad";"Vadsbo";"Töreboda";"Västra Götalands län";"Hellasstad";"";"socken";"";"Västergötland";"parish";"medeltida";"Hjälstad--Västergötland";"6497462";"58.6136350730789";"58.630694146817";"58.5865597933126";"13.9424247909475";"14.0598925440259";"442032";"14.0021580524464";"1395220";"6500409";"442007";"6497839";"3779";"3590";"14.0011586674867";"58.626922345383"
"1523";"Hasslösa";"Kinnefjärding";"Lidköping";"Västra Götalands län";"";"";"socken";"";"Västergötland";"parish";"medeltida";"Hasslösa--Västergötland";"6476982";"58.422060354992";"58.4442677947813";"58.402879562135";"13.2097552042755";"13.3547526318419";"399695";"13.2826949597651";"1352618";"6480428";"399670";"6477024";"4302";"4282";"13.2822539180587";"58.4224131440214"
